id,id_parcelle,date_image,ndvi_moyen,ndvi_median,ndvi_min,ndvi_max,ndvi_std,source
1,1,2025-09-02,0.590523296870255,0.6133194650437549,-0.5212224108658744,0.8601728201099764,0.1479939617767884,GEE
2,1,2025-09-02,0.5947176391101013,0.6132413902232946,-0.5647668393782384,0.8692946058091287,0.1515676927162395,GEE
3,1,2025-09-04,0.5588983479531546,0.5742316030443084,-0.4790528233151184,0.8068325601012231,0.13552447333791767,GEE
4,1,2025-09-04,0.569050693566539,0.5899400767518516,-0.6421923474663909,0.8266384778012685,0.14532845930951638,GEE
5,1,2025-09-12,0.5881404541009673,0.6053702138236976,-0.53628023352794,0.8609164420485175,0.14666055121554938,GEE
6,1,2025-09-12,0.5927200089517461,0.6134599173776956,-0.6017467248908297,0.8699360341151386,0.15050581816805103,GEE
7,1,2025-09-14,0.5608094181139537,0.5820849883426176,-0.6134786917740337,0.8121252498334444,0.14290873342173774,GEE
8,1,2025-09-14,0.5733011244705339,0.5976819276400586,-0.8146002317497103,0.8350242611380679,0.15606134181740006,GEE
9,1,2025-09-16,0.559121705404204,0.5819086379247587,-0.5770609318996416,0.8279370952821462,0.14193861223899987,GEE
10,1,2025-09-17,0.5688014991790048,0.5900294752282844,-0.4359363153904473,0.8217605248769819,0.14092126120536094,GEE
11,1,2025-09-26,0.5592728135226256,0.5743237979663687,-0.5096774193548387,0.8225273328248157,0.1370698819211149,GEE
12,1,2025-10-02,0.5761441503293232,0.5976897517239091,-0.47928994082840237,0.8284473398479913,0.14264540544887871,GEE
13,1,2025-10-02,0.5814824722721889,0.5976763840585353,-0.5308641975308642,0.8416945373467113,0.14672204657312152,GEE
14,1,2025-10-07,0.5694658316540785,0.5898740735979955,-0.3276595744680851,0.8116991643454039,0.13293423330665824,GEE
15,1,2025-10-07,0.5743729645709142,0.5900171471082569,-0.35832414553472985,0.8204915769124551,0.13602992539238065,GEE
16,1,2025-10-14,0.55293813797589,0.5664381652306204,-0.22456140350877193,0.7738961669092673,0.1170057510700455,GEE
17,1,2025-10-14,0.559457609694396,0.574280872427419,-0.2636625119846596,0.7822931785195936,0.1209330676561412,GEE
18,1,2025-10-17,0.5873214673006091,0.6055623083921698,-0.4986276303751144,0.8346354166666666,0.1430458964483748,GEE
19,1,2025-10-17,0.5944726833161399,0.6132928639283003,-0.5437921077959577,0.8510987208920958,0.14775376155635483,GEE
20,1,2025-10-19,0.4854178403241419,0.48240822985451426,-0.13073713490959665,0.7834283209118807,0.10281114278324499,GEE
21,1,2025-10-19,0.49230329562861935,0.4902362016366219,-0.14482758620689656,0.8284371327849589,0.1067912331694499,GEE
22,1,2025-10-24,0.5871782293412074,0.6054368873949209,-0.5448028673835126,0.8371581263753537,0.13886539171095086,GEE
23,1,2025-10-24,0.5945688370899955,0.6130437302258283,-0.6048918156161807,0.8542963885429639,0.14428066932514824,GEE
24,1,2025-10-27,0.5976941167859168,0.6134723950442993,-0.5031315240083507,0.852670349907919,0.14534624543594643,GEE
25,1,2025-10-27,0.6033768777214502,0.6211448528601043,-0.5598290598290598,0.8610526315789474,0.14922399387284918,GEE
26,1,2025-11-11,0.6268129833223518,0.6445010980111622,-0.48058252427184467,0.8745294855708908,0.14936866002312885,GEE
27,1,2025-11-11,0.6304031297887824,0.6446072450581823,-0.4933008526187576,0.8863346104725415,0.15166972650403646,GEE
28,1,2025-11-21,0.6920798323629459,0.7418018198882546,-1.0,1.0,0.24438492764225803,GEE
29,1,2025-11-26,0.751667524824943,0.7774085502379737,-0.6545454545454545,0.9425932035631804,0.1541993289402341,GEE
30,1,2025-11-26,0.7540950443265878,0.7773258061121849,-0.7012987012987013,0.9458064516129032,0.15610715654275256,GEE
31,1,2025-11-28,0.7197045536697829,0.7460832243968177,-0.6363636363636364,0.9295958279009127,0.15585447345247924,GEE
32,1,2025-11-28,0.7282701443651846,0.754017938817922,-0.8518518518518519,0.9366565684384467,0.16397183878409116,GEE
33,1,2025-11-28,0.7365773601567265,0.7616865360451531,-0.6279809220985691,0.9457436856875585,0.15962190066236034,GEE
34,1,2025-11-28,0.7418987455479543,0.7695702276026298,-0.7162393162393162,0.949064130101258,0.16328288904565638,GEE
35,1,2025-12-01,0.7584670224989346,0.785077613066905,-0.7563451776649747,0.9587432561091717,0.16283246256031547,GEE
36,1,2025-12-01,0.7574693727222537,0.7851023185247823,-0.7650429799426934,0.9561487130600572,0.16288256690366623,GEE
37,1,2025-12-05,0.7309170313738637,0.7538845849008449,-0.7588357588357588,0.9335076578259246,0.15275622656315174,GEE
38,1,2025-12-06,0.7514855957834178,0.7772505428972049,-0.660952380952381,0.9424372320881813,0.15518747542414812,GEE
39,1,2025-12-06,0.7576396362587273,0.7851659485144237,-0.7341513292433538,0.9502845163222522,0.15888572650727328,GEE
40,1,2025-12-08,0.7270061388998601,0.7460502046252485,-0.5841584158415841,0.9332599926659333,0.14699213175508327,GEE
41,1,2025-12-08,0.7335317748940879,0.7539502038500121,-0.6962025316455697,0.9365609348914858,0.15164235984875582,GEE
42,1,2025-12-08,0.7476847048130681,0.769498170083825,-0.6550580431177446,0.9362651370299554,0.15445126217502816,GEE
43,1,2025-12-18,0.7493611947369833,0.7694809280419665,-0.7196765498652291,0.9421440726035167,0.15355066455572755,GEE
44,1,2025-12-18,0.7529458349652148,0.7772221323422168,-0.6222760290556901,0.9407995117485505,0.15293558186732198,GEE
45,1,2025-12-18,0.7520990627067359,0.7773294193681421,-0.5896805896805897,0.9384429692214846,0.15288616190266227,GEE
46,1,2026-01-12,0.7717682062674496,0.7931076762968587,-0.690566037735849,0.9436865021770682,0.14134816830624422,GEE
47,1,2026-01-12,0.7699653331541025,0.7851518949892528,-0.6911196911196911,0.9454385450278674,0.1410149989811891,GEE
48,1,2026-02-16,0.6519694234081651,0.6601584597832537,-0.5548780487804879,0.9502824858757062,0.15371851784977617,GEE
49,1,2026-02-16,,,,,,GEE
50,1,2026-02-16,0.66274831834672,0.6758819813554484,-1.0,0.9765189316113884,0.16595124849290951,GEE
51,1,2026-02-16,0.6615198525295972,0.6757080406721431,-1.0,0.9725787631271878,0.16613127158029126,GEE
52,1,2026-02-21,0.6734471313338836,0.6836237379010559,-0.9538461538461539,0.9515492957746479,0.14651290571296002,GEE
53,1,2026-02-21,0.6703048991874914,0.6836557645415735,-0.759493670886076,0.9500717360114778,0.14387794238459858,GEE
54,1,2026-02-24,0.6663936762079107,0.6777760570454955,-0.008620689655172414,0.9139194139194139,0.13842709711290566,GEE
55,1,2026-02-24,0.6701926731759031,0.6837009230721567,-0.13253012048192772,0.9229583975346687,0.14047990878246788,GEE
56,1,2026-03-11,0.696613119761522,0.7148396364324803,-0.8793650793650793,1.0,0.15211542700986552,GEE
57,1,2026-03-11,0.6958739419711059,0.7148079954434784,-0.865546218487395,1.0,0.15207030323719628,GEE
58,1,2026-03-13,0.6738340787886836,0.6913607591958478,-0.18652849740932642,0.8846153846153846,0.11921865234524266,GEE
59,1,2026-03-13,0.674165155853967,0.691422905326001,-0.22302158273381295,0.8903611327617563,0.11995339742977,GEE
60,1,2026-03-16,0.7018193645011106,0.7147792038189857,-0.5899581589958159,0.9325332468374959,0.13710572954264252,GEE
61,1,2026-03-16,0.7022361878765878,0.7149867751836891,-0.6371681415929203,0.9333133072994894,0.13938545721517126,GEE
62,1,2026-03-18,0.684514624275044,0.6973146929084705,0.11572700296735905,0.8847858197932054,0.10304090729413012,GEE
63,1,2026-03-18,0.6847246419124012,0.6972918344029669,0.07105263157894737,0.8871921182266009,0.10357237440567235,GEE
64,1,2026-03-18,0.6868181280373022,0.6972629076660856,0.1457725947521866,0.8798090424038192,0.1065414988503174,GEE
65,1,2026-03-18,0.6861819242690984,0.6972463071529835,0.14327062228654125,0.8798090424038192,0.1064685539787987,GEE
66,1,2026-03-28,0.7000978990586273,0.7149822778055287,-0.2749003984063745,0.8932093023255814,0.11439396109205258,GEE
67,1,2026-03-28,0.7009995596381381,0.7226519448382115,-0.39080459770114945,0.8986311505734369,0.11734466118302943,GEE
68,1,2026-03-28,0.7158087664444057,0.7382803144174453,-0.09554140127388536,0.9085445518683042,0.1161661273005376,GEE
69,1,2026-03-28,0.7158060322247904,0.7305569947777101,-0.17326732673267325,0.9101274312541918,0.11701279865998816,GEE
70,1,2026-03-31,0.7123200296928143,0.7382594796610348,-0.5011990407673861,0.9139896373056995,0.1351000971157513,GEE
71,1,2026-03-31,0.7125066114796734,0.7383686740183338,-0.5414634146341464,0.9172774869109948,0.13644748842055263,GEE
72,1,2026-04-02,0.6879981155039837,0.7071388896155515,-0.3370165745856354,0.8890492885130955,0.12260033221930287,GEE
73,1,2026-04-02,0.68906771183139,0.7147913880594126,-0.43125,0.8899462143152669,0.12535467717386306,GEE
74,1,2026-04-04,0.6792520600137482,0.699262701975324,-0.41252699784017277,0.8936324167872648,0.1240156174890945,GEE
75,1,2026-04-04,0.6813340439121226,0.7070318872618333,-0.6299559471365639,0.8973113616652212,0.13061229854030876,GEE
76,1,2026-04-05,0.6938998937809024,0.7147034298935724,-0.2033898305084746,0.8943862987630827,0.12224030257510533,GEE
77,1,2026-04-05,0.6931154856245785,0.7148555086420079,-0.20812182741116753,0.8944539457610554,0.12225213842415,GEE
78,1,2026-04-15,0.7323807684299626,0.7538450539511748,-0.8987341772151899,0.9269622954707137,0.1411807510424664,GEE
79,1,2026-04-15,0.731669213342961,0.7539297227317295,-0.9041916167664671,0.9288574793875147,0.141244936178099,GEE
80,1,2026-04-17,0.6504000602296794,0.658200317899829,0.09399358092618065,0.8489851150202977,0.09328262426942315,GEE
81,1,2026-04-20,0.702961482779318,0.7168289858669065,0.20624437105974183,0.8544542032622334,0.08703503585846428,GEE
82,1,2026-04-25,0.7399354894275724,0.7695935461785275,-1.0,0.9528959384763278,0.15562826622670292,GEE
83,1,2025-09-02,0.590523296870255,0.6133194650437549,-0.5212224108658744,0.8601728201099764,0.1479939617767884,GEE
84,1,2025-09-02,0.5947176391101013,0.6132413902232946,-0.5647668393782384,0.8692946058091287,0.1515676927162395,GEE
85,1,2025-09-04,0.5588983479531546,0.5742316030443084,-0.4790528233151184,0.8068325601012231,0.13552447333791767,GEE
86,1,2025-09-04,0.569050693566539,0.5899400767518516,-0.6421923474663909,0.8266384778012685,0.14532845930951638,GEE
87,1,2025-09-12,0.5881404541009673,0.6053702138236976,-0.53628023352794,0.8609164420485175,0.14666055121554938,GEE
88,1,2025-09-12,0.5927200089517461,0.6134599173776956,-0.6017467248908297,0.8699360341151386,0.15050581816805103,GEE
89,1,2025-09-14,0.5608094181139537,0.5820849883426176,-0.6134786917740337,0.8121252498334444,0.14290873342173774,GEE
90,1,2025-09-14,0.5733011244705339,0.5976819276400586,-0.8146002317497103,0.8350242611380679,0.15606134181740006,GEE
91,1,2025-09-16,0.559121705404204,0.5819086379247587,-0.5770609318996416,0.8279370952821462,0.14193861223899987,GEE
92,1,2025-09-17,0.5688014991790048,0.5900294752282844,-0.4359363153904473,0.8217605248769819,0.14092126120536094,GEE
93,1,2025-09-26,0.5592728135226256,0.5743237979663687,-0.5096774193548387,0.8225273328248157,0.1370698819211149,GEE
94,1,2025-10-02,0.5761441503293232,0.5976897517239091,-0.47928994082840237,0.8284473398479913,0.14264540544887871,GEE
95,1,2025-10-02,0.5814824722721889,0.5976763840585353,-0.5308641975308642,0.8416945373467113,0.14672204657312152,GEE
96,1,2025-10-07,0.5694658316540785,0.5898740735979955,-0.3276595744680851,0.8116991643454039,0.13293423330665824,GEE
97,1,2025-10-07,0.5743729645709142,0.5900171471082569,-0.35832414553472985,0.8204915769124551,0.13602992539238065,GEE
98,1,2025-10-14,0.55293813797589,0.5664381652306204,-0.22456140350877193,0.7738961669092673,0.1170057510700455,GEE
99,1,2025-10-14,0.559457609694396,0.574280872427419,-0.2636625119846596,0.7822931785195936,0.1209330676561412,GEE
100,1,2025-10-17,0.5873214673006091,0.6055623083921698,-0.4986276303751144,0.8346354166666666,0.1430458964483748,GEE
101,1,2025-10-17,0.5944726833161399,0.6132928639283003,-0.5437921077959577,0.8510987208920958,0.14775376155635483,GEE
102,1,2025-10-19,0.4854178403241419,0.48240822985451426,-0.13073713490959665,0.7834283209118807,0.10281114278324499,GEE
103,1,2025-10-19,0.49230329562861935,0.4902362016366219,-0.14482758620689656,0.8284371327849589,0.1067912331694499,GEE
104,1,2025-10-24,0.5871782293412074,0.6054368873949209,-0.5448028673835126,0.8371581263753537,0.13886539171095086,GEE
105,1,2025-10-24,0.5945688370899955,0.6130437302258283,-0.6048918156161807,0.8542963885429639,0.14428066932514824,GEE
106,1,2025-10-27,0.5976941167859168,0.6134723950442993,-0.5031315240083507,0.852670349907919,0.14534624543594643,GEE
107,1,2025-10-27,0.6033768777214502,0.6211448528601043,-0.5598290598290598,0.8610526315789474,0.14922399387284918,GEE
108,1,2025-11-11,0.6268129833223518,0.6445010980111622,-0.48058252427184467,0.8745294855708908,0.14936866002312885,GEE
109,1,2025-11-11,0.6304031297887824,0.6446072450581823,-0.4933008526187576,0.8863346104725415,0.15166972650403646,GEE
110,1,2025-11-21,0.6920798323629459,0.7418018198882546,-1.0,1.0,0.24438492764225803,GEE
111,1,2025-11-26,0.751667524824943,0.7774085502379737,-0.6545454545454545,0.9425932035631804,0.1541993289402341,GEE
112,1,2025-11-26,0.7540950443265878,0.7773258061121849,-0.7012987012987013,0.9458064516129032,0.15610715654275256,GEE
113,1,2025-11-28,0.7197045536697829,0.7460832243968177,-0.6363636363636364,0.9295958279009127,0.15585447345247924,GEE
114,1,2025-11-28,0.7282701443651846,0.754017938817922,-0.8518518518518519,0.9366565684384467,0.16397183878409116,GEE
